,Comment
120,Vô tù mấy anh công an đấm Bảnh ko trượt phát nào ae ạ :))
121,Nhớ Bảnh mong bạn sớm hoàn lương trở về với quê hương. Làm người lương thiện
122,"Giang hồ bấy giờ loạn lạc, lục lâm thảo khẩu xuất hiện khắp nơi. Người thì múa quạt, người thì livestream đánh ghen người thì tập nằm quan tài. Dân chúng lầm than, không khí đau thương bao trùm khắp tứ hải bát hoang. Lúc bấy giờ, ở Bắc Ninh huyện nổi lên 1 a hùng hảo hảo tên là Ngô Khá. Ngô Khá - tự Khá Bảnh, xưng hùng xưng bá khắp cõi Bắc Kì. Với thế võ gia truyền Múa Quạt, Bảnh đánh đông dẹp bắc, thanh thế của Bảnh ngày một lớn, chư hầu bốn phương kéo về Kinh Bắc xin được làm quân dưới chướng của Bảnh. 

Thanh thế của Bảnh bấy giờ lớn lắm, y nổi tiếng là người sống trọng tình, cái đạo hiếu nghĩa của Bảnh được thiên hạ đón nhận và coi đó như một biểu tượng. Cách đây không lâu, người ta vẫn thường hay thấy Bảnh thao luyện binh mã ở ngoài thành Kinh Bắc, dân tình đổ đến xem đông lắm, ai nấy cũng khen Bảnh là người có tài, hiếm ai dám buông lợt cợt nhả, chế diễu. Duy có một lần, khi ấy tiết trời đang vào độ Xuân, trong lúc Bảnh đương cùng mấy người huynh đệ ngắm hoa thưởng nguyệt, một kẻ thân thủ phi phàm, chẳng rõ lai lịch, hắn ta đột nhập vào tư gia của Bảnh, buông lời khinh thường về ngoại hình, hắn ví lông tóc của Bảnh trông chẳng khác gì mớ lôn lồng. Tức giận là thế, nhưng Bảnh chẳng thèm sân si, tính toán gì đến mấy kẻ cuồng ngôn, Bảnh vẫn có sao sống vậy, quả thật xứng với hai từ nghĩa hiệp. 

Vì mến mộ danh tiếng của Bảnh Ngô, một vị thương lái nổi tiếng ngoài Đại La đã đặc biệt dâng tặng cho bảnh chú ngựa xích thố phiên bản PCX. Nghe đâu, chú ngựa một ngày có thể đi được vạn dặm, giá trị của nó lên tới hàng chục triệu lượng, không phải kẻ nào cũng có thể dễ dàng sở hữu. Ấy vậy mà khi tận tay nhận được món quà, Bảnh dường như không mấy xem trọng thứ đồ quý hiếm, y liền cho người đem chú ngựa PCX đến thao trường để làm công cụ luyện binh. Với bản lĩnh của mình, bảnh dùng cây gậy thiết trượng đánh liên đánh liên tiếp vào chú ngựa, thân thủ linh hoạt và chính xác đến tột cùng. Ngay cả khi nhắm mắt, Bảnh cũng có thể thi triển võ thuật một cách dễ, chẳng trượt cái nào/ Vì vốn là ngựa quý, PCX dù cho bị hành hạ nhưng vẫn khỏe khoắn, mạnh mẽ vô cùng. Chán nản, Bảnh liền quay sang dùng hỏa công thiêu rụi chú ngựa, hắn hả hê khi chính tay mình và đám thuộc hạ đã tiêu hủy đi thứ trân bảo mà cả thiên hạ ai cũng mong muốn có được. 

Việc Bảnh hủy hoại thần mã PCX không lâu sau thì đồn đến tai của Thánh Thượng, nhà vua lập tức sai binh mã đến Kinh Bắc, một mặt điều tra, một mặt tìm cách thuần phục bảnh, tránh việc y dùng thanh thế của mình để tạo nạn can qua, ảnh hưởng đến bá tánh trong vùng. 

Giờ Hợi, ngày mồng một tháng tư, quan binh bất ngờ bao vây lấy tư gia của Bảnh, tiếng trống chiêng giáo mác làm kinh động cả một vùng trời. Bảnh lúc ấy đương dùng á phiện, đầu óc của y chẳng còn đủ sự tỉnh táo để ứng biến, Bảnh đành dơ tay chịu trói. Quan quân đưa Bảnh về phủ nha tra hỏi, theo như lời khai ban đầu, Bảnh thú nhận mình đã quá ngông cuồng trong hành động, y ngoài việc đốt ngựa quý, Bảnh còn cho vay tín chấp, làm bảng lô đề, tội trạng quả thực nặng lắm. 

Dân tình Đại Việt khi hay tin Bảnh Ngô bị triều đình bắt giữ, ai nấy cũng canh cánh trong lòng, họ sợ một ngày Bảnh quay trở lại, hắn ta sẽ tiếp tục con đường của mình, gây ra sự ảnh hưởng không nhỏ tới nền giáo dục nước nhà. Mặt khác, những vị anh hùng hào kiệt trong giới giang hồ, sau khi biết tin Khá Bảnh gặp nạn, họ chẳng thèm đoái hoài, cũng chẳng một ai lên tiếng để bênh vực cho Khá, nhiều kẻ mà Khá xem là huynh đệ cũng tìm cách chạy trốn, biệt tăm biệt tích. Đất Kinh Bắc hơm ấy quả nhiên được một phen oanh oanh liệt liệt, quan quân, bá tánh khắp vùng mở tiệc tế cáo trời đất. 
Thiên hạ từ đó, quốc thái dân an, vạn vật yên bình vui vẻ không bút nào tả xiết.

Kỷ Hợi niên, ngày mồng 3 tháng tư,"
123,Hu hu hu Anh bị bắt rồi
124,"Xả hội làm lôx gì có chuyện đúng sai 
Chỉ có chú công an mới nhốt tao đc"
125,Vào tù quản ngục đấm bảnh không trượt phát lào
126,Nhớ anh bảnh quá anh em nào nhớ anh khá bảnh linke 🤨😐😪 đi
127,Phát lào nói ngọng thế em
128,"Chất vái cục cưt'chỉ có mấy thằng con nít ngáo ngơ học theo,việt nam giờ loạn quá,hình ảnh phản cảm ngập tràn khắp noi,nguy thật rồi"
129,vừa ra clip nên mong ae uh
130,Trong Clip Tình Anh Em Nói 0 Với Cờ Bạc Tự Nhiên Bây Giờ Bị Bắt Vì Cờ Bạc 😂😂😂
131,Hay quá bạn ơi hi
132,Trời nóng nực ko có anh bảnh múa quạt sao mát đây 😑
133,trai dep là kha banh
134,Giang hồ xã hội vào nc với cán bộ khóc như đám ma
135,CA: Tóc cháu như lông lz của mẹ cháu vậy.Để chú cắt cho sạch đầu
136,"nó nói đúng đấy kiểu tóc mày như lông lồn thật, còn cái đầu mày như đâu con cặc vậy"
137,"cái thg thánh tỏi dân chơi mở hàng. juvetul đông khách hẳn. 
còn nhìu thg cởi trần chụp hình đâu hết ùi. lên tiếng cứu đi."
138,"Dự là sẽ có clip "" những câu nói hay của khá bảnh ở trong tù """
139,"Thằng em bảnh không biết làm gì hơn cho anh mình. Nên 10 năm này nó thay Bảnh ""chăm sóc"" vợ Bảnh 😂😂😂😂😂"
140,"thằng nào vào trại lần đầu tiên mà xăm hình đại bàng , phật tổ và quan thế âm bồ tát thì .. tú tài cả đời. ... tôi tích góp 40 năm về xăm những hình này ..."
141,Khá bảnh bị bắt làm cho con tao .bỏ ăn .bỏ học. Mấy ngày nay rồi. Rỗ mãi không được...
142,Nhạc j vậy
143,Bây giờ cũng rất nổi tiếng OK rồi được bộ an thuong dot này về chắc chắn sẽ bị chập điện mọt hai giây
144,"Thôi các thím cđm ơi em khá nó hoạn nạn khổ rồi các thím ạ,mong các thím đừng cào phím a rua nói lời cay đắng với ku e khá nữa kẻo khẩu nghiệp,tôi không thích kiểu sống của khá kô fan phiếc gì khá ...hãy sống như một người tử tế"
145,Khá bảnb tuoi ()
146,Nó bị bắt rồi thì làm ơn bớt thần tượng mà làm mấy video tôn Vĩnh nó như anh hùng liệt sĩ. Đụ mẹ làm như vậy hư cả một thế hệ sau này
147,"Khá vào tù rồi tôi thấy cũng chưa vừa bụng tôi. Vô đó chơi với anh em nó còn đông hơn bên ngoài xã hội.
Nếu được. Nên đem hắn ra côn đảo cho đặp hắn đập đá ngoài đảo coi phê hơn không"
148,Tao đang nghĩ con ghẹ phút 1'08s k biết có chờ bảnh bẩn ra trại ko? Chờ đc thì đúng là bái phục
149,"Tối nay mình sẽ tập trung ae lại để giải cứu anh Khá, hầu hết ae là fan cứng anh Khá, kế hoạch là làm sao đột nhập vào trại giam, phá khoá, đánh ngất bảo vệ rồi hộ tống anh Khá ra trước 7 giờ tối
Vì 7h30 ae bận đi học thêm toán lí hoá các kiểu, không có rảnh
Còn phương án biểu tình đòi tự do phải dời đến tháng 7, vì lúc đó được nghỉ hè mới rảnh đi biểu tình đc
Cố lên anh Khá, ráng chờ bọn em
10
Ẩn hoặc báo cáo bình luận này"
150,"Thế này mà cũng thần tượng. Nó làm giới trẻ mông muội, lệch lạc rồi!"
151,Nếu khá bánh chịu khó xem phim anh hùng lương sơn bạc thì cuộc đời sẽ khác rồi
152,Khá bảnh đem vào nam nhốt ( khám chí hoà) thì thành trái bóng mất hơi luôn
153,"Đầu bảnh ai nói giống lông loz phải nói là đầu Bảnh chúng ta bằng hai chữ :"" NHƯ LOẰN"".~ HẾT~"
154,Qa vụ viêc này khoa học chứng minh mấy đứa nói zoi hay vuốt đầu lắm! Vãi 🤣
155,Mãi fan anh 😍😍hy vọng m.n trở lại bt đến vs anh
156,Ae Thái Nguyên đồng hương vk Anh Khá đâu ? Like cái nào
157,Chất cmm ad. Mày cũng súc sinh như nó ak. Cạn bã xa hội
158,Buồn cười với lũ giang hồ ảo hổ giấy đại bàng xốp này quá.
159,Rán bốc lịch chừng 5nam là về đc rồi cố lên bảnh ơi kkk
160,Vào tù khá bảnh có ae trong đấy Không nhỉ
161,"Sao có mấy đoạn clip này hay vậy
Kênh bị xoá r mà"
162,"Bảnh:ở cái xã hội này *éo có chuyện đúng sai chỉ có kẻ yếu và kẻ mạnh
Police: Really
Bảnh:cháu đã sai"
163,Toàn mấy thằng ranh con hoặc vô học mới  thần tượng thằng ranh này
164,"nhin nhung khuon mat nhoc ti len mang xa hoi lam hu gioi tre , bon mat day nay cho di tu lau de xa hoi binh yen , mat day"
165,Thấy nó ăn mặc khác lạ nhưng ít ra là cái style của riêng nó. Đéo hiểu sao bọn Trẩu đứa nào đứa đó học đòi làm theo Nó từ A tới Z.😂
166,"Cái cần đăng thì m ko đăng cái gì chất , chất cái đầu mày vì mấy cái trò nhảm nhí này mà chúng mày làm biến thái cả xã hội"
167,A khá bẩn ơi e cắt tóc như a bố e đấm e ko trượt phát lào
168,các chú Vào ủng hộ cho cháu với ạ...củng cố lại tình thần
169,thằng lìn này vừa nc miệng nó vừa méo méo sao nhìn muốn đấm vcl
170,"Anh vứt cả tỷ ra vào những chuyện chính đáng, còn 500 đối với anh hơi to 😆😆😆"
171,Anh dep tay
172,Răng rung răng rung là răng
173,"Nhìn ngứa mắt vkl . đi tù 16 năm là còn nhẹ 
Bắt hết cả bọn Fan khá bảnh đi tù đi"
174,Hay quá nhưng tiếc anh bảnh ko đc nghe
175,"Mik ko phải fan Khá Bảnh nhưng mỗi tối xem live của b này thật sự giải trí cao,bị bắt cũng hơi chán😂"
176,1:23 có biến thấy hay quay lại like nhé 😂😂
177,Ngô Bá Khá Thường Đc Gọi Là Khá bảnh Về Vụ Án  Khá Có Thể Dính 10 Năm Tù Trợ Xuống
178,Bảnh rơi nước mắt... Cuộc chơi kết thúc
179,3đứa cháu tui thích khá bảnh lắm tay múa xoè  hoài
180,Kqt: t chỉ thích bài tà lăng của bảnh thôi 😂
181,Chác bên clb  juventus trả tiền cao quá nên anh đã ký hợp đồng chuyển nhượng...mong anh thành công khi về bên đó
182,Xhội đéo có đúng sai thế công an vs bảnh ai mạnh hơn mọi nguoi🤣😂
183,Amh khb ôuueyeyeeeyeyeyeuydy
184,Anh bảnh đáng yêu quá
185,Tao buồn cười câu tóc như lông lồn :))))
186,Cứ hễ a chửi nó là tao like
187,Vo tu cho bi danh chet me mày lun bảnh àk.
188,"khá bảnh đi không trượt cuốn nào !
😂😂😂"
189,Ming a ra nhanh de ve livestream dy ==buon qua
190,Con mẹ mày đánh chết cha mày giờ 🤣🤣🤣 truất'ss
191,"Chấtt cái lz mm đi làm fan xì ke thăng cò hó này





Máy bay ngu thích cứ sủa đi"
192,Đi mấy năm về hót nữa em nhé
193,Hôm qua khá còn ăn bát cháo gà. Hôm nay khá dã bỏ nhà ra đi. Ơi hờ hờ khá ơi là khá ơi hờ hờ??????
194,Bảnh đi thật rôi . :))
195,A cậu bảnh đi mạnh khoẻ nha.nhà vs vk cứ để tôi lo😂😆 chịch vk bạn
196,👍
197,Đụ mẹ thể loại này cũng có fan là sao
198,Ngu thì chết ....! Vậy thôi
199,Tại Thằng Lồn Lồn Khánh Sky mà Bảnh mới vô tù
200,Anh bảnh ơi e nhớ a quá Mn sẽ đợi a về mà
201,hello xin chào mọi người đến với channel của bảnh hôm nay bảnh sẽ làm vlog thử thách ở tù 10 năm
202,lơ mơ vào tù còn gặp fan nữa
203,Dm duog minh tuyền có lúc phải kẹt còn khá con mới biết gáy..
204,CHÁU SAI RỒI
205,"Thag tinh trung khuyết tật vao tù ah ,VN yên binh roi .uoc j chet o trog tu luon cho dat nuoc trog sach"
206,Nhớ idol vl 😢😢
207,"Thích câu"" cuộc sống này ko có đúng sai,chỉ có người mạnh và kẻ yếu""..nhưng thích nhất câu vừa nói vừa khóc của khá bảnh"" em sai rồi"" ...trước công an.."
208,ai có link bài em gái mưa lúc đầu không ?
209,Tóc bảnh như lông lon
210,Bảnh vào đồn chú công an đấm bảnh ko trượt phát lào
211,Đề nghị bộ công an xem xét tha cho bảnh về . Trẻ em cả nước bỏ ăn mấy ngày nay rồi...
212,Mong anh bảnh ra tù sớm
213,Xin link nhac day di ban
214,A Khá Bảnh Bh phải đổi tên là Khá Lâu
215,Giá a cứ giữ thần thái Như thế này thì có lẽ đã khác. Tiếc cho a khá
216,nhìn mặt quê mùa vkl..!
217,Ad có muốn bán kênh này không ạ
218,Từ này quả đầu lửng mật không tồn tại nữa
219,kênh a bảnh và dương minh tuyền đã bị xóa
220,Bảnh vào tù quẩy nhạc Ke 😂
221,Nhớ a quá nhờ có ai nhớ a ko?
222,Nhac  tien đua thang ngu vao tu ma may deo biet kha banh lon
223,đkm chết cha mày giờ khoái câu này nhất luôn ahihi😂
224,Em khóc hay lắm nhạc cũng hay
225,0:49
226,khá bảnh xuất hiện rồi này
227,Bao giờ thg nay mới hết ảnh hưởng
228,H thì ký hợp đồng với Juventus 18 năm sang đó mà rửa đít cho cr7
229,Xh éo cho chuyện đúng sai :v ! Loạn mẹ r! Kẻ mạnh mà thắng thì nga mỹ nó cho m ko còn đất để múa quạt r
